Employee ID,MonthlyIncome,TotalWorkingYears,Work Life Balance Rating,WorkLifeBalance,YearsSinceLastPromotion,Attrition,Department,EmployeeCount,Gender,HourlyRate,JobRole,Attrition Count
117,27428,24,Excellent,4,2,Yes,Software,1,Female,185,Sales Representative,1
118,14430,33,Moderate,2,8,No,Sales,1,Male,43,Sales Representative,0
119,22537,7,Excellent,4,3,No,Research & Development,1,Male,64,Sales Representative,0
120,6972,1,Good,3,1,Yes,Research & Development,1,Male,159,Human Resources,1
121,7122,39,Excellent,4,20,No,Sales,1,Female,169,Sales Representative,0
122,40332,3,Excellent,4,1,No,Support,1,Female,173,Manufacturing Director,0
123,1861,3,Good,3,1,No,Hardware,1,Female,111,Sales Representative,0
124,39210,17,Good,3,1,No,Sales,1,Female,60,Sales Representative,0
125,48408,14,Excellent,4,3,Yes,Support,1,Female,99,Manager,1
126,2954,19,Good,3,10,No,Software,1,Female,183,Laboratory Technician,0
127,36320,6,Good,3,1,Yes,Sales,1,Female,74,Laboratory Technician,1
128,35126,5,Good,3,4,No,Support,1,Male,93,Sales Executive,0
129,19243,4,Moderate,2,1,Yes,Sales,1,Male,113,Manager,1
130,34982,30,Moderate,2,23,No,Human Resources,1,Female,61,Laboratory Technician,0
131,18794,26,Excellent,4,16,No,Software,1,Male,174,Manufacturing Director,0
132,18056,34,Moderate,2,3,Yes,Research & Development,1,Male,74,Sales Representative,1
133,27080,40,Excellent,4,6,Yes,Support,1,Female,43,Manufacturing Director,1
134,45522,38,Excellent,4,3,Yes,Support,1,Male,93,Research Director,1
135,31275,2,Poor,1,1,No,Support,1,Male,183,Manager,0
136,4549,30,Good,3,2,No,Human Resources,1,Male,162,Manufacturing Director,0
137,46220,13,Excellent,4,4,No,Support,1,Male,169,Sales Representative,0
138,44310,16,Excellent,4,3,No,Support,1,Male,149,Manufacturing Director,0
139,3459,24,Excellent,4,2,No,Human Resources,1,Female,116,Sales Representative,0
140,34838,19,Excellent,4,9,No,Sales,1,Female,171,Manufacturing Director,0
141,7656,9,Excellent,4,2,Yes,Support,1,Female,140,Sales Executive,1
142,28438,40,Poor,1,6,No,Sales,1,Male,48,Sales Executive,0
143,33841,15,Good,3,4,No,Hardware,1,Female,116,Research Scientist,0
144,15804,23,Excellent,4,4,No,Software,1,Male,120,Manufacturing Director,0
145,1409,3,Good,3,1,No,Sales,1,Male,153,Healthcare Representative,0
146,31570,25,Moderate,2,1,No,Hardware,1,Male,131,Manufacturing Director,0
147,23311,18,Excellent,4,3,No,Human Resources,1,Female,198,Human Resources,0
148,26448,1,Poor,1,1,No,Hardware,1,Female,152,Sales Representative,0
149,41382,18,Poor,1,10,No,Sales,1,Male,131,Human Resources,0
150,35662,36,Moderate,2,16,No,Human Resources,1,Female,167,Developer,0
151,21242,9,Excellent,4,2,Yes,Hardware,1,Male,51,Sales Representative,1
152,35858,6,Poor,1,1,Yes,Software,1,Female,140,Laboratory Technician,1
153,42695,4,Good,3,1,No,Sales,1,Male,138,Research Director,0
154,45177,7,Excellent,4,1,No,Research & Development,1,Male,186,Manager,0
155,34088,4,Good,3,3,Yes,Human Resources,1,Female,65,Healthcare Representative,1
156,33680,29,Good,3,16,Yes,Hardware,1,Male,198,Sales Representative,1
157,11535,8,Moderate,2,2,No,Hardware,1,Female,147,Developer,0
158,23810,32,Poor,1,5,Yes,Human Resources,1,Female,154,Research Director,1
159,46478,23,Excellent,4,3,Yes,Human Resources,1,Male,190,Manager,1
160,23085,12,Good,3,5,Yes,Hardware,1,Female,42,Research Director,1
161,47495,1,Poor,1,1,Yes,Research & Development,1,Female,31,Human Resources,1
162,43701,21,Moderate,2,2,Yes,Sales,1,Female,35,Manager,1
163,4808,6,Moderate,2,1,Yes,Support,1,Male,198,Human Resources,1
164,26237,34,Excellent,4,28,No,Hardware,1,Male,94,Sales Representative,0
165,8422,25,Poor,1,2,No,Research & Development,1,Male,105,Research Director,0
166,47155,13,Excellent,4,9,No,Software,1,Female,68,Manager,0
167,13335,40,Good,3,26,Yes,Research & Development,1,Male,161,Laboratory Technician,1
168,2265,27,Moderate,2,3,No,Research & Development,1,Male,69,Research Scientist,0
169,37757,37,Poor,1,14,No,Software,1,Male,169,Laboratory Technician,0
170,20865,13,Poor,1,3,No,Human Resources,1,Male,55,Manufacturing Director,0
171,42772,19,Good,3,3,Yes,Sales,1,Male,119,Research Scientist,1
172,27728,14,Poor,1,5,Yes,Software,1,Female,174,Manager,1
173,4382,2,Moderate,2,1,Yes,Research & Development,1,Female,139,Manager,1
174,32625,3,Moderate,2,1,No,Research & Development,1,Female,67,Developer,0
175,1379,4,Good,3,2,No,Human Resources,1,Female,129,Sales Executive,0
176,39585,11,Good,3,4,Yes,Hardware,1,Female,114,Developer,1
177,4961,30,Moderate,2,1,Yes,Hardware,1,Female,34,Human Resources,1
178,30553,39,Good,3,22,Yes,Software,1,Female,163,Manufacturing Director,1
179,18560,29,Good,3,10,Yes,Support,1,Female,187,Research Scientist,1
180,40666,6,Excellent,4,1,No,Human Resources,1,Male,37,Developer,0
181,28786,15,Moderate,2,9,Yes,Hardware,1,Female,173,Human Resources,1
182,4806,3,Good,3,1,No,Hardware,1,Female,152,Research Scientist,0
183,40955,38,Good,3,8,No,Software,1,Male,196,Healthcare Representative,0
184,17637,37,Good,3,13,No,Sales,1,Male,144,Sales Representative,0
185,35117,33,Moderate,2,8,Yes,Support,1,Female,55,Human Resources,1
186,11803,1,Excellent,4,1,No,Sales,1,Female,79,Manufacturing Director,0
187,41034,32,Excellent,4,12,No,Human Resources,1,Female,142,Healthcare Representative,0
188,21473,33,Moderate,2,3,Yes,Sales,1,Female,172,Laboratory Technician,1
189,43033,30,Excellent,4,4,Yes,Sales,1,Female,177,Sales Executive,1
190,10938,13,Excellent,4,6,Yes,Sales,1,Female,80,Research Scientist,1
191,38191,27,Moderate,2,4,Yes,Research & Development,1,Male,148,Sales Representative,1
192,10422,31,Excellent,4,12,Yes,Research & Development,1,Male,121,Human Resources,1
193,33768,14,Excellent,4,1,Yes,Human Resources,1,Female,147,Sales Representative,1
194,13808,31,Moderate,2,14,No,Research & Development,1,Male,91,Manager,0
195,32338,16,Moderate,2,1,Yes,Software,1,Male,50,Research Scientist,1
196,5476,40,Poor,1,11,Yes,Sales,1,Male,162,Human Resources,1
197,15558,35,Good,3,11,No,Hardware,1,Female,78,Sales Executive,0
198,45920,11,Good,3,4,No,Research & Development,1,Female,135,Manager,0
199,49998,34,Excellent,4,8,No,Sales,1,Male,50,Human Resources,0
200,8343,33,Excellent,4,1,Yes,Sales,1,Female,83,Human Resources,1
201,50986,37,Good,3,1,No,Sales,1,Female,145,Laboratory Technician,0
202,20919,29,Moderate,2,6,No,Research & Development,1,Male,116,Manager,0
203,2898,18,Good,3,4,Yes,Hardware,1,Female,40,Laboratory Technician,1
204,31908,35,Excellent,4,9,No,Research & Development,1,Male,138,Healthcare Representative,0
205,46824,25,Moderate,2,16,Yes,Hardware,1,Female,192,Laboratory Technician,1
206,27304,12,Excellent,4,5,Yes,Software,1,Male,187,Manager,1
207,9065,7,Moderate,2,6,Yes,Hardware,1,Female,163,Manufacturing Director,1
208,43212,14,Good,3,3,Yes,Software,1,Male,62,Manufacturing Director,1
209,6377,4,Good,3,1,No,Hardware,1,Female,57,Research Director,0
210,27644,1,Excellent,4,1,Yes,Support,1,Female,125,Research Scientist,1
211,26418,26,Excellent,4,18,No,Hardware,1,Male,55,Manufacturing Director,0
212,18910,30,Moderate,2,10,Yes,Sales,1,Male,181,Sales Executive,1
213,44326,19,Good,3,17,No,Sales,1,Male,113,Sales Representative,0
214,20301,12,Poor,1,1,No,Sales,1,Male,118,Developer,0
215,48864,30,Moderate,2,13,Yes,Hardware,1,Female,174,Laboratory Technician,1
216,13247,21,Moderate,2,4,Yes,Research & Development,1,Male,166,Developer,1
217,14075,30,Good,3,15,Yes,Research & Development,1,Female,148,Sales Representative,1
218,13645,3,Poor,1,2,No,Human Resources,1,Male,61,Developer,0
219,14887,40,Poor,1,5,No,Support,1,Male,103,Sales Representative,0
220,38526,18,Moderate,2,4,No,Human Resources,1,Male,62,Developer,0
221,47591,5,Moderate,2,3,Yes,Hardware,1,Male,161,Sales Executive,1
222,12776,1,Good,3,1,No,Research & Development,1,Male,83,Research Scientist,0
223,28647,31,Excellent,4,5,No,Human Resources,1,Male,135,Research Director,0
224,8073,32,Moderate,2,12,No,Research & Development,1,Male,152,Sales Executive,0
225,7748,25,Excellent,4,10,Yes,Software,1,Female,177,Human Resources,1
226,18742,40,Moderate,2,1,No,Software,1,Female,96,Healthcare Representative,0
227,43572,9,Excellent,4,2,Yes,Sales,1,Male,173,Manufacturing Director,1
228,41709,39,Moderate,2,4,No,Sales,1,Female,188,Healthcare Representative,0
229,3175,34,Poor,1,24,Yes,Software,1,Male,105,Manufacturing Director,1
230,40253,31,Good,3,19,Yes,Support,1,Male,75,Healthcare Representative,1
231,8450,37,Moderate,2,1,No,Research & Development,1,Male,37,Research Director,0
232,33719,18,Excellent,4,8,Yes,Human Resources,1,Male,198,Manufacturing Director,1
233,15595,38,Good,3,18,Yes,Human Resources,1,Male,157,Manufacturing Director,1
234,17909,2,Good,3,2,No,Software,1,Female,199,Developer,0
235,26024,14,Moderate,2,8,No,Research & Development,1,Female,151,Sales Executive,0
236,33318,32,Excellent,4,12,No,Support,1,Male,144,Sales Representative,0
237,39669,2,Good,3,1,No,Research & Development,1,Male,102,Healthcare Representative,0
238,10910,29,Moderate,2,5,Yes,Sales,1,Female,189,Healthcare Representative,1
239,24087,36,Good,3,16,Yes,Sales,1,Male,65,Healthcare Representative,1
240,37622,4,Excellent,4,1,No,Support,1,Male,132,Healthcare Representative,0
241,35344,30,Excellent,4,1,No,Research & Development,1,Female,108,Human Resources,0
242,46280,10,Moderate,2,8,No,Support,1,Female,53,Developer,0
243,39074,4,Moderate,2,1,Yes,Software,1,Female,75,Laboratory Technician,1
244,47117,21,Poor,1,1,No,Support,1,Male,151,Laboratory Technician,0
245,42691,34,Excellent,4,6,No,Support,1,Female,94,Sales Representative,0
246,30583,22,Moderate,2,5,Yes,Research & Development,1,Male,190,Research Director,1
247,12156,37,Moderate,2,8,No,Research & Development,1,Male,173,Sales Representative,0
248,33625,8,Moderate,2,2,No,Support,1,Female,30,Human Resources,0
249,9256,19,Moderate,2,8,Yes,Hardware,1,Female,136,Developer,1
250,24142,33,Moderate,2,21,No,Research & Development,1,Male,169,Manufacturing Director,0
251,47834,22,Poor,1,16,Yes,Human Resources,1,Male,48,Sales Executive,1
252,20777,14,Poor,1,1,Yes,Sales,1,Female,119,Human Resources,1
253,29895,16,Moderate,2,2,No,Support,1,Female,74,Sales Executive,0
254,27761,35,Moderate,2,1,Yes,Hardware,1,Male,115,Laboratory Technician,1
255,35033,10,Excellent,4,6,No,Support,1,Female,168,Healthcare Representative,0
256,26977,22,Excellent,4,1,No,Software,1,Male,131,Healthcare Representative,0
257,49123,20,Good,3,5,No,Human Resources,1,Male,180,Developer,0
258,31940,25,Good,3,3,No,Hardware,1,Female,86,Manufacturing Director,0
259,30697,20,Poor,1,16,Yes,Support,1,Male,157,Manufacturing Director,1
260,20875,20,Excellent,4,3,Yes,Hardware,1,Male,80,Developer,1
261,25961,24,Poor,1,15,No,Sales,1,Female,162,Human Resources,0
262,28593,31,Excellent,4,2,No,Support,1,Male,182,Sales Representative,0
263,5879,23,Good,3,4,Yes,Human Resources,1,Female,137,Healthcare Representative,1
264,39333,29,Good,3,1,Yes,Sales,1,Male,67,Manager,1
265,11270,22,Good,3,1,Yes,Hardware,1,Female,93,Laboratory Technician,1
266,35273,32,Poor,1,14,No,Software,1,Female,170,Human Resources,0
267,4339,40,Good,3,12,No,Hardware,1,Male,42,Manager,0
268,17895,33,Poor,1,5,No,Support,1,Female,101,Laboratory Technician,0
269,37604,18,Excellent,4,3,Yes,Support,1,Female,182,Manufacturing Director,1
270,31883,10,Moderate,2,1,Yes,Software,1,Female,196,Manufacturing Director,1
271,13634,27,Good,3,7,No,Software,1,Male,190,Human Resources,0
272,33754,27,Moderate,2,4,No,Hardware,1,Female,147,Developer,0
273,21549,10,Good,3,5,Yes,Software,1,Male,77,Research Director,1
274,9899,6,Moderate,2,2,Yes,Software,1,Male,157,Research Director,1
275,48715,36,Moderate,2,2,No,Hardware,1,Male,177,Developer,0
276,11225,9,Good,3,3,No,Support,1,Female,199,Sales Executive,0
277,28569,22,Good,3,5,Yes,Support,1,Male,91,Sales Executive,1
278,34090,32,Excellent,4,9,Yes,Support,1,Male,149,Laboratory Technician,1
279,48019,35,Moderate,2,1,Yes,Human Resources,1,Female,37,Research Scientist,1
280,39709,7,Poor,1,2,Yes,Software,1,Male,73,Healthcare Representative,1
281,50347,24,Moderate,2,3,Yes,Support,1,Female,77,Healthcare Representative,1
282,16732,28,Poor,1,11,Yes,Hardware,1,Male,99,Sales Representative,1
283,32063,12,Moderate,2,2,No,Sales,1,Female,80,Manager,0
284,4163,8,Poor,1,5,Yes,Research & Development,1,Male,81,Manager,1
285,44633,27,Excellent,4,3,No,Human Resources,1,Male,59,Manufacturing Director,0
286,4330,34,Moderate,2,31,No,Research & Development,1,Male,128,Sales Executive,0
287,24537,16,Good,3,9,No,Human Resources,1,Female,91,Research Scientist,0
288,28071,11,Excellent,4,3,No,Research & Development,1,Male,51,Sales Representative,0
289,37581,22,Poor,1,6,No,Research & Development,1,Female,43,Human Resources,0
290,26839,6,Moderate,2,1,Yes,Support,1,Female,100,Manufacturing Director,1
291,35901,2,Poor,1,1,No,Hardware,1,Male,104,Sales Executive,0
292,28910,12,Good,3,3,No,Sales,1,Male,90,Healthcare Representative,0
293,38602,11,Excellent,4,4,Yes,Human Resources,1,Male,49,Human Resources,1
294,9377,11,Excellent,4,7,No,Sales,1,Female,65,Developer,0
295,9473,5,Good,3,4,Yes,Human Resources,1,Female,195,Manager,1
296,36121,37,Good,3,9,No,Software,1,Male,197,Research Scientist,0
297,17699,14,Excellent,4,6,Yes,Hardware,1,Female,182,Research Director,1
298,46448,18,Poor,1,2,No,Research & Development,1,Female,67,Research Scientist,0
299,30029,11,Excellent,4,4,Yes,Software,1,Male,154,Sales Representative,1
300,21575,27,Moderate,2,3,Yes,Human Resources,1,Male,89,Human Resources,1
301,45317,35,Poor,1,19,No,Human Resources,1,Female,65,Research Scientist,0
302,38658,36,Excellent,4,22,Yes,Sales,1,Female,161,Research Director,1
303,44892,33,Good,3,17,Yes,Human Resources,1,Male,43,Sales Executive,1
304,42545,14,Excellent,4,3,Yes,Software,1,Female,101,Human Resources,1
305,44681,9,Excellent,4,3,Yes,Sales,1,Male,192,Laboratory Technician,1
306,41939,8,Excellent,4,3,Yes,Human Resources,1,Female,133,Sales Representative,1
307,47528,36,Excellent,4,14,No,Hardware,1,Male,121,Healthcare Representative,0
308,47172,22,Moderate,2,1,No,Human Resources,1,Female,63,Manager,0
309,6646,28,Excellent,4,12,No,Hardware,1,Male,75,Sales Executive,0
310,29260,1,Good,3,1,Yes,Sales,1,Female,117,Research Scientist,1
311,23640,35,Excellent,4,22,No,Software,1,Male,123,Sales Executive,0
312,42436,25,Poor,1,2,Yes,Hardware,1,Female,117,Manufacturing Director,1
313,17037,29,Good,3,2,No,Sales,1,Male,30,Human Resources,0
314,14851,8,Poor,1,1,No,Human Resources,1,Male,58,Sales Executive,0
315,9761,3,Moderate,2,1,No,Human Resources,1,Male,128,Laboratory Technician,0
316,24622,29,Excellent,4,1,No,Support,1,Female,200,Laboratory Technician,0
317,46492,2,Excellent,4,1,Yes,Sales,1,Female,90,Research Scientist,1
318,40922,36,Excellent,4,5,No,Sales,1,Male,75,Research Scientist,0
319,14346,25,Moderate,2,2,Yes,Support,1,Male,92,Manufacturing Director,1
320,22293,7,Excellent,4,2,Yes,Human Resources,1,Female,80,Manager,1
321,2809,14,Moderate,2,2,No,Hardware,1,Female,168,Laboratory Technician,0
322,26878,2,Excellent,4,1,No,Human Resources,1,Male,174,Healthcare Representative,0
323,1370,28,Good,3,17,Yes,Software,1,Female,113,Healthcare Representative,1
324,1753,3,Good,3,1,Yes,Software,1,Male,127,Manager,1
325,45787,38,Excellent,4,3,Yes,Sales,1,Male,82,Manager,1
326,31042,8,Moderate,2,3,No,Hardware,1,Female,190,Research Director,0
327,36419,37,Moderate,2,7,No,Research & Development,1,Male,58,Manufacturing Director,0
328,35021,8,Moderate,2,2,No,Research & Development,1,Male,70,Sales Executive,0
329,14571,37,Good,3,3,Yes,Software,1,Female,141,Healthcare Representative,1
330,24871,17,Good,3,1,Yes,Sales,1,Male,98,Sales Executive,1
331,45282,40,Good,3,11,No,Research & Development,1,Female,78,Laboratory Technician,0
332,30297,3,Poor,1,1,No,Software,1,Female,188,Manager,0
333,17495,19,Moderate,2,6,Yes,Support,1,Male,67,Sales Executive,1
334,29675,24,Moderate,2,13,Yes,Hardware,1,Female,34,Laboratory Technician,1
335,35049,28,Moderate,2,2,Yes,Software,1,Female,153,Healthcare Representative,1
336,24931,12,Good,3,2,No,Support,1,Female,160,Human Resources,0
337,34427,10,Moderate,2,7,Yes,Human Resources,1,Female,171,Research Scientist,1
338,15836,32,Poor,1,4,Yes,Support,1,Female,187,Human Resources,1
339,27701,38,Poor,1,17,No,Sales,1,Female,179,Sales Representative,0
340,40894,9,Good,3,3,Yes,Hardware,1,Female,165,Laboratory Technician,1
341,31611,16,Good,3,7,Yes,Human Resources,1,Female,193,Human Resources,1
342,14529,7,Moderate,2,3,Yes,Hardware,1,Female,45,Human Resources,1
343,6207,13,Good,3,6,No,Human Resources,1,Male,107,Sales Executive,0
344,2743,33,Poor,1,2,No,Sales,1,Male,159,Manager,0
345,39012,17,Good,3,10,No,Human Resources,1,Male,53,Research Director,0
346,41937,32,Moderate,2,1,No,Hardware,1,Male,85,Healthcare Representative,0
347,23115,29,Good,3,8,Yes,Hardware,1,Female,124,Developer,1
348,18091,27,Good,3,5,No,Hardware,1,Male,43,Manufacturing Director,0
349,40161,25,Excellent,4,6,Yes,Sales,1,Male,141,Research Director,1
350,35972,40,Moderate,2,3,No,Research & Development,1,Female,77,Research Scientist,0
351,21648,9,Poor,1,1,No,Sales,1,Female,186,Manager,0
352,20579,19,Poor,1,10,Yes,Support,1,Male,40,Sales Executive,1
353,24494,20,Poor,1,4,Yes,Human Resources,1,Female,101,Research Director,1
354,5493,31,Moderate,2,2,Yes,Human Resources,1,Male,176,Developer,1
355,19294,13,Moderate,2,1,No,Human Resources,1,Female,117,Sales Representative,0
356,25339,23,Good,3,6,Yes,Hardware,1,Female,100,Manager,1
357,2203,27,Moderate,2,11,Yes,Software,1,Female,63,Laboratory Technician,1
358,42026,23,Moderate,2,1,No,Sales,1,Male,167,Research Director,0
